2026-03-21 05:10:35.754 [2792408] [app] [INFO ] [logging.init] run logger initialized: file=logs/21-03-26/run-042/run.log run=42 day=logs/21-03-26
2026-03-21 05:10:35.754 [2792408] [app] [INFO ] [app.main] launcher init: run=42 log_file=logs/21-03-26/run-042/run.log
2026-03-21 05:10:35.754 [2792408] [app] [INFO ] [app.main] resolved mod_source=mods/shell-quest/
2026-03-21 05:10:35.754 [2792408] [app] [DEBUG] [app.main] engine config: dev=true sound_server=false sound_server_cmd=<default>
2026-03-21 05:10:35.754 [2792408] [app] [INFO ] [app.main] engine initialized: mod_source=mods/shell-quest/
2026-03-21 05:10:35.754 [2792408] [app] [INFO ] [engine.run] starting engine run: mod_source=mods/shell-quest/ entrypoint=/scenes/00-intro-logo/scene.yml dev=true sound_server=false
2026-03-21 05:10:36.604 [2792408] [app] [INFO ] [engine.scene] loaded entry scene: id=00.intro.logo title=00 Intro Logo
2026-03-21 05:10:50.489 [2792408] [app] [INFO ] [engine.scene] transition requested: to=01.intro.date
2026-03-21 05:10:50.491 [2792408] [app] [INFO ] [engine.scene] transition applied: active_scene=01.intro.date title=01 Intro Date
2026-03-21 05:10:59.356 [2792408] [app] [INFO ] [engine.scene] transition requested: to=02.intro.boot
2026-03-21 05:10:59.357 [2792408] [app] [INFO ] [engine.scene] transition applied: active_scene=02.intro.boot title=02 Intro Boot
2026-03-21 05:11:13.666 [2792408] [app] [INFO ] [engine.scene] transition requested: to=intro-lab-enter
2026-03-21 05:11:13.667 [2792408] [app] [INFO ] [engine.scene] transition applied: active_scene=intro-lab-enter title=Intro Lab Enter
2026-03-21 05:11:13.956 [2792408] [app] [INFO ] [engine.scene] transition requested: to=intro-difficulty-select
2026-03-21 05:11:13.964 [2792408] [app] [INFO ] [engine.scene] transition applied: active_scene=intro-difficulty-select title=Intro Difficulty Select
2026-03-21 05:12:10.430 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:12:23.468 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:12:27.173 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:12:44.334 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:12:51.016 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:12:55.123 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:13:14.373 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:13:20.276 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:13:21.739 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:13:44.391 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
